Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1430516402745,4818,Load random friend,200,OK,Thread Group 1-35,text,true,1826,70,70,4818
1430516402937,4669,Load random friend,200,OK,Thread Group 1-36,text,true,1835,70,70,4669
1430516402968,4661,Load random friend,200,OK,Thread Group 1-38,text,true,1831,70,70,4661
1430516403474,4184,Load random friend,200,OK,Thread Group 1-39,text,true,1834,70,70,4183
1430516403577,4089,Load random friend,200,OK,Thread Group 1-42,text,true,1820,70,70,4089
1430516403620,4082,Login Page,200,OK,Thread Group 1-5,text,true,2375,70,70,4081
1430516403724,4006,Load random friend,200,OK,Thread Group 1-43,text,true,1827,70,70,4006
1430516403823,3919,Load random friend,200,OK,Thread Group 1-45,text,true,1832,70,70,3918
1430516403843,3936,Load random friend,200,OK,Thread Group 1-40,text,true,1822,70,70,3936
1430516404314,3478,Load random friend,200,OK,Thread Group 1-46,text,true,1811,70,70,3478
1430516404442,3377,Load random friend,200,OK,Thread Group 1-41,text,true,1836,70,70,3377
1430516404615,3243,Load random friend,200,OK,Thread Group 1-44,text,true,1829,70,70,3243
1430516404638,3236,Load random friend,200,OK,Thread Group 1-50,text,true,1829,70,70,3236
1430516404656,3230,Load random friend,200,OK,Thread Group 1-49,text,true,1833,70,70,3230
1430516404709,3210,Login Page,200,OK,Thread Group 1-1,text,true,2375,70,70,3209
1430516405139,2805,Load random friend,200,OK,Thread Group 1-47,text,true,1832,70,70,2805
1430516405366,2609,Load random friend,200,OK,Thread Group 1-48,text,true,1829,70,70,2609
1430516405265,2729,Load random friend,200,OK,Thread Group 1-53,text,true,1838,70,70,2729
1430516405443,2585,Load random friend,200,OK,Thread Group 1-51,text,true,1831,70,70,2585
1430516405537,2505,Load random friend,200,OK,Thread Group 1-52,text,true,1832,70,70,2505
1430516405944,2175,Load random friend,200,OK,Thread Group 1-58,text,true,1834,70,70,2175
1430516396753,11380,Login POST,200,OK,Thread Group 1-67,text,true,47824,70,70,3737
1430516406005,2161,Login Page,200,OK,Thread Group 1-6,text,true,2375,70,70,2160
1430516406205,2037,Load random friend,200,OK,Thread Group 1-54,text,true,1832,70,70,2037
1430516406104,2142,Load random friend,200,OK,Thread Group 1-55,text,true,1829,70,70,2142
1430516396777,11512,Login POST,200,OK,Thread Group 1-65,text,true,47786,70,70,3773
1430516406188,2121,Login Page,200,OK,Thread Group 1-3,text,true,2375,70,70,2121
1430516406276,2072,Load random friend,200,OK,Thread Group 1-57,text,true,1833,70,70,2071
1430516406451,1911,Load random friend,200,OK,Thread Group 1-59,text,true,1836,70,70,1910
1430516406522,1874,Login Page,200,OK,Thread Group 1-9,text,true,2375,70,70,1874
1430516406567,1833,Login Page,200,OK,Thread Group 1-8,text,true,2375,70,70,1832
1430516406606,1812,Login Page,200,OK,Thread Group 1-11,text,true,2375,70,70,1812
1430516406634,1803,Login Page,200,OK,Thread Group 1-10,text,true,2375,70,70,1802
1430516406680,1765,Login Page,200,OK,Thread Group 1-12,text,true,2375,70,70,1765
1430516406748,1723,Login Page,200,OK,Thread Group 1-17,text,true,2375,70,70,1722
1430516406789,1716,Login Page,200,OK,Thread Group 1-14,text,true,2375,70,70,1716
1430516406875,1634,Login Page,200,OK,Thread Group 1-20,text,true,2375,70,70,1634
1430516406828,1697,Login Page,200,OK,Thread Group 1-13,text,true,2375,70,70,1697
1430516406900,1693,Login Page,200,OK,Thread Group 1-16,text,true,2375,70,70,1693
1430516407004,1602,Load random friend,200,OK,Thread Group 1-56,text,true,1829,70,70,1602
1430516396925,11693,Login POST,200,OK,Thread Group 1-63,text,true,47884,70,70,5991
1430516407052,1583,Login Page,200,OK,Thread Group 1-19,text,true,2375,70,70,1583
1430516407107,1567,Load random friend,200,OK,Thread Group 1-60,text,true,1831,70,70,1567
1430516407146,1534,Login Page,200,OK,Thread Group 1-22,text,true,2375,70,70,1534
1430516407165,1546,Login Page,200,OK,Thread Group 1-18,text,true,2375,70,70,1545
1430516407182,1553,Load random friend,200,OK,Thread Group 1-61,text,true,1829,70,70,1552
1430516407230,1522,Login Page,200,OK,Thread Group 1-15,text,true,2375,70,70,1522
1430516407206,1569,Login Page,200,OK,Thread Group 1-25,text,true,2375,70,70,1569
1430516407252,1548,Login Page,200,OK,Thread Group 1-23,text,true,2375,70,70,1547
1430516407263,1546,Login Page,200,OK,Thread Group 1-21,text,true,2375,70,70,1545
1430516407330,1507,Login Page,200,OK,Thread Group 1-24,text,true,2375,70,70,1507
1430516407351,1509,Login Page,200,OK,Thread Group 1-27,text,true,2375,70,70,1509
1430516407370,1518,Load random friend,200,OK,Thread Group 1-62,text,true,1844,70,70,1518
1430516407412,1481,Login Page,200,OK,Thread Group 1-30,text,true,2375,70,70,1481
1430516407397,1525,Login Page,200,OK,Thread Group 1-29,text,true,2375,70,70,1524
1430516407449,1493,Login Page,200,OK,Thread Group 1-26,text,true,2375,70,70,1493
1430516407429,1529,Login Page,200,OK,Thread Group 1-28,text,true,2375,70,70,1528
1430516407488,1499,Login Page,200,OK,Thread Group 1-32,text,true,2375,70,70,1499
1430516407514,1494,Login Page,200,OK,Thread Group 1-31,text,true,2375,70,70,1493
1430516407529,1498,Login Page,200,OK,Thread Group 1-34,text,true,2375,70,70,1498
1430516407558,1484,Login Page,200,OK,Thread Group 1-37,text,true,2375,70,70,1484
1430516407579,1482,Login Page,200,OK,Thread Group 1-33,text,true,2375,70,70,1482
1430516407596,1492,Login Page,200,OK,Thread Group 1-35,text,true,2375,70,70,1492
1430516407615,1494,Login Page,200,OK,Thread Group 1-36,text,true,2375,70,70,1494
1430516407667,1473,Login Page,200,OK,Thread Group 1-39,text,true,2375,70,70,1473
1430516407639,1504,Login Page,200,OK,Thread Group 1-38,text,true,2375,70,70,1504
1430516407681,1489,Login Page,200,OK,Thread Group 1-42,text,true,2375,70,70,1489
1430516407740,1468,Login Page,200,OK,Thread Group 1-43,text,true,2375,70,70,1468
1430516407762,1464,Login Page,200,OK,Thread Group 1-45,text,true,2375,70,70,1463
1430516407789,1460,Login Page,200,OK,Thread Group 1-40,text,true,2375,70,70,1460
1430516407812,1500,Login Page,200,OK,Thread Group 1-46,text,true,2375,70,70,1499
1430516407829,1497,Login Page,200,OK,Thread Group 1-41,text,true,2375,70,70,1496
1430516397684,11664,Login POST,200,OK,Thread Group 1-64,text,true,47878,70,70,8274
1430516407868,1515,Login Page,200,OK,Thread Group 1-44,text,true,2375,70,70,1515
1430516407884,1519,Login Page,200,OK,Thread Group 1-50,text,true,2375,70,70,1519
1430516407896,1513,Login Page,200,OK,Thread Group 1-49,text,true,2375,70,70,1512
1430516407954,1490,Login Page,200,OK,Thread Group 1-47,text,true,2375,70,70,1490
1430516407985,1464,Login Page,200,OK,Thread Group 1-48,text,true,2375,70,70,1463
1430516408038,1427,Login Page,200,OK,Thread Group 1-51,text,true,2375,70,70,1427
1430516408062,1428,Login Page,200,OK,Thread Group 1-52,text,true,2375,70,70,1428
1430516408004,1490,Login Page,200,OK,Thread Group 1-53,text,true,2375,70,70,1489
1430516408129,1384,Login Page,200,OK,Thread Group 1-58,text,true,2375,70,70,1384
